filename,score,notes
IMG_2663_001.mp4,70,Para atrás y elevado
IMG_2663_002.mp4,90,Pese a que ha sido un golpe en salto ha sido muy correcto
IMG_2663_003.mp4,83,"Demasiado de algo, no sé"
IMG_2663_004.mp4,92,Se pone de puntillas un poco
IMG_2663_005.mp4,40,"Pierna izquierda levantada, cuerpo para atrás y golpe no en el centro de las cuerdas de la raqueta"
IMG_2663_006.mp4,87,
IMG_2663_007.mp4,68,"Extendido de piernas, brazo no termina en hombro correcto y cuerpo para atrás"
IMG_2663_008.mp4,74,Pierna izquierda extendida pero bien en general
IMG_2663_009.mp4,95,Golpe muy sólido
IMG_2674_001.mp4,77,Golpe demasiado alto
IMG_2674_002.mp4,69,Posición muy elevada y falta de extensión de brazo y rotación de muñeca
IMG_2674_003.mp4,65,Falta giro de muñeca
IMG_2674_004.mp4,70,Falta extensión en brazo y giro de muñeca
IMG_2674_005.mp4,67,Falta extensión en brazo y giro de muñeca
IMG_2674_006.mp4,74,Falta extensión del brazo
IMG_2674_007.mp4,55,"Cuerpo elevado, falta extensión"
IMG_2674_008.mp4,58,"Golpe demasiado tarde, falta giro de muñeca"
IMG_2674_009.mp4,67,
IMG_2674_010.mp4,70,"Golpe muy alto debido a la bola, bien corregido"
IMG_2674_011.mp4,68,"Falta extensión del brazo, cuerpo muy erguido"
IMG_2674_012.mp4,64,"Rápida rotación de hombros, falta extender brazo"
IMG_2674_013.mp4,80,Un poco bajo el golpeo
IMG_2674_014.mp4,75,
IMG_2675_001.mp4,55,"Brazo encogido, posición del cuerpo elevada"
IMG_2675_002.mp4,20,No golpea con las cuerdas a la bola
IMG_2675_003.mp4,30,"Golpeo tarde a la bola, el movimiento de la cabeza de la raqueta lo inicia antes de tiempo"
IMG_2675_004.mp4,37,Golpeo muy encima de la bola y sin el brazo extendido
IMG_2675_005.mp4,40,"La muñeca no hace el movimiento correcto, golpea demasiado tarde"
IMG_2675_006.mp4,36,"Cuerpo extendido, golpeo tarde, mal gesto de muñeca"
IMG_2675_007.mp4,32,"No mira la bola, cuerpo extendido y erguido, mal giro de muñeca"
IMG_2675_008.mp4,46,Muy erguido y no mira la bola
IMG_2675_009.mp4,42,Piernas extendidas y todo un poco alto
IMG_2675_010.mp4,50,"Piernas extendidas pero mira la bola, el gesto de muñeca no es correcto del todo"
IMG_2675_011.mp4,60,
IMG_2675_012.mp4,50,Piernas extendidas y mal giro de muñeca
IMG_2675_013.mp4,70,
IMG_2675_014.mp4,80,"Falta extensión del brazo, por lo demás bien"
IMG_2675_015.mp4,65,Todo bien pero el giro de muñeca no existe en el golpeo
IMG_2675_016.mp4,60,El brazo sube demasiado rápido
IMG_2675_017.mp4,70,Todo bien menos el giro de muñeca
VIDEO-2025-10-14-19-32-56_001.mp4,50,"Golpeo para atrás, posición elevada y mala finalización"
VIDEO-2025-10-14-19-32-56_002.mp4,90,Falta inclinación hacía delante
VIDEO-2025-10-14-19-32-56_003.mp4,89,Posición de la bola un poco baja
VIDEO-2025-10-14-19-32-56_004.mp4,86,Buen golpeo
VIDEO-2025-10-14-19-32-56_005.mp4,90,Golepo un poco bajo
VIDEO-2025-10-14-19-32-57_001.mp4,92,Buen golpeo
VIDEO-2025-10-14-19-32-57_002.mp4,90,Golpeo un poco alto
